junior_school,high_school,quota
北京市第一中学,北京市第二中学,1
北京市第五中学分校,北京市第二中学,1
北京市第一中学,北京市第五中学,1
北京市第五中学分校,北京市第五中学,2
北京市第一中学,北京市第十一中学,0
北京市第五中学分校,北京市第十一中学,1
北京市第一中学,北京市第五十中学,0
北京市第五中学分校,北京市第五十中学,1
北京市第一中学,北京市第五十五中学,2
北京市第五中学分校,北京市第五十五中学,2
北京市第一中学,北京市第一零九中学,0
北京市第五中学分校,北京市第一零九中学,1
北京市第一中学,北京市第一六六中学,2
北京市第五中学分校,北京市第一六六中学,2
北京市第一中学,北京市第一七一中学,1
北京市第五中学分校,北京市第一七一中学,1
北京市第一中学,北京市广渠门中学,1
北京市第五中学分校,北京市广渠门中学,1
北京市第一中学,北京汇文中学,1
北京市第五中学分校,北京汇文中学,1
北京市第一中学,北京市东直门中学,0
北京市第五中学分校,北京市东直门中学,1
北京市第一中学,北京景山学校,1
北京市第五中学分校,北京景山学校,1
北京市第一中学,北京市第二十二中学,2
北京市第五中学分校,北京市第二十二中学,2
北京市第一中学,北京市龙潭中学,0
北京市第五中学分校,北京市龙潭中学,1
北京市第二中学分校,北京市第二中学,3
北京市第二中学分校,北京市第五中学,2
北京市第二中学分校,北京市第十一中学,7
北京市第二中学分校,北京市第五十中学,6
北京市第二中学分校,北京市第五十五中学,9
北京市第二中学分校,北京市第一零九中学,8
北京市第二中学分校,北京市第一六六中学,7
北京市第二中学分校,北京市第一七一中学,2
北京市第二中学分校,北京市广渠门中学,2
北京市第二中学分校,北京汇文中学,3
北京市第二中学分校,北京市东直门中学,2
北京市第二中学分校,北京景山学校,3
北京市第二中学分校,北京市第二十二中学,5
北京市第二中学分校,北京市龙潭中学,2
北京市第十一中学,北京市第二中学,1
北京市第十一中学,北京市第五中学,1
北京市第十一中学,北京市第十一中学,3
北京市第十一中学,北京市第五十中学,2
北京市第十一中学,北京市第五十五中学,1
北京市第十一中学,北京市第一零九中学,2
北京市第十一中学,北京市第一六六中学,1
北京市第十一中学,北京市第一七一中学,1
北京市第十一中学,北京市广渠门中学,2
北京市第十一中学,北京汇文中学,2
北京市第十一中学,北京市东直门中学,1
北京市第十一中学,北京景山学校,1
北京市第十一中学,北京市第二十二中学,1
北京市第十一中学,北京市龙潭中学,1
北京市第二十一中学,北京市第二中学,0
北京市第二十二中学,北京市第二中学,1
北京市第二十一中学,北京市第五中学,1
北京市第二十二中学,北京市第五中学,1
北京市第二十一中学,北京市第十一中学,0
北京市第二十二中学,北京市第十一中学,1
北京市第二十一中学,北京市第五十中学,0
北京市第二十二中学,北京市第五十中学,1
北京市第二十一中学,北京市第五十五中学,1
北京市第二十二中学,北京市第五十五中学,2
北京市第二十一中学,北京市第一零九中学,0
北京市第二十二中学,北京市第一零九中学,1
北京市第二十一中学,北京市第一六六中学,0
北京市第二十二中学,北京市第一六六中学,1
北京市第二十一中学,北京市第一七一中学,0
北京市第二十二中学,北京市第一七一中学,1
北京市第二十一中学,北京市广渠门中学,1
北京市第二十二中学,北京市广渠门中学,1
北京市第二十一中学,北京汇文中学,1
北京市第二十二中学,北京汇文中学,1
北京市第二十一中学,北京市东直门中学,0
北京市第二十二中学,北京市东直门中学,1
北京市第二十一中学,北京景山学校,0
北京市第二十二中学,北京景山学校,1
北京市第二十一中学,北京市第二十二中学,2
北京市第二十二中学,北京市第二十二中学,2
北京市第二十一中学,北京市龙潭中学,0
北京市第二十二中学,北京市龙潭中学,1
北京市第二十四中学,北京市第二中学,3
北京市第二十四中学,北京市第五中学,2
北京市第二十四中学,北京市第十一中学,12
北京市第二十四中学,北京市第五十中学,13
北京市第二十四中学,北京市第五十五中学,13
北京市第二十四中学,北京市第一零九中学,13
北京市第二十四中学,北京市第一六六中学,14
北京市第二十四中学,北京市第一七一中学,3
北京市第二十四中学,北京市广渠门中学,3
北京市第二十四中学,北京汇文中学,3
北京市第二十四中学,北京市东直门中学,7
北京市第二十四中学,北京景山学校,1
北京市第二十四中学,北京市第二十二中学,13
北京市第二十四中学,北京市龙潭中学,1
北京市第二十五中学,北京市第二中学,6
北京市第二十五中学,北京市第五中学,2
北京市第二十五中学,北京市第十一中学,10
北京市第二十五中学,北京市第五十中学,11
北京市第二十五中学,北京市第五十五中学,12
北京市第二十五中学,北京市第一零九中学,9
北京市第二十五中学,北京市第一六六中学,10
北京市第二十五中学,北京市第一七一中学,7
北京市第二十五中学,北京市广渠门中学,3
北京市第二十五中学,北京汇文中学,2
北京市第二十五中学,北京市东直门中学,5
北京市第二十五中学,北京景山学校,2
北京市第二十五中学,北京市第二十二中学,14
北京市第二十五中学,北京市龙潭中学,1
北京市第二十七中学,北京市第二中学,3
北京市第二十七中学,北京市第五中学,2
北京市第二十七中学,北京市第十一中学,4
北京市第二十七中学,北京市第五十中学,3
北京市第二十七中学,北京市第五十五中学,5
北京市第二十七中学,北京市第一零九中学,4
北京市第二十七中学,北京市第一六六中学,3
北京市第二十七中学,北京市第一七一中学,3
北京市第二十七中学,北京市广渠门中学,1
北京市第二十七中学,北京汇文中学,2
北京市第二十七中学,北京市东直门中学,4
北京市第二十七中学,北京市第二十二中学,5
北京市第二十七中学,北京市龙潭中学,1
北京市第五十中学,北京市第二中学,2
北京市第五十中学,北京市第五中学,1
北京市第五十中学,北京市第十一中学,5
北京市第五十中学,北京市第五十中学,15
北京市第五十中学,北京市第五十五中学,2
北京市第五十中学,北京市第一零九中学,6
北京市第五十中学,北京市第一六六中学,4
北京市第五十中学,北京市第一七一中学,2
北京市第五十中学,北京市广渠门中学,2
北京市第五十中学,北京汇文中学,2
北京市第五十中学,北京市东直门中学,1
北京市第五十中学,北京景山学校,2
北京市第五十中学,北京市第二十二中学,4
北京市第五十中学,北京市龙潭中学,1
北京市第五十中学分校,北京市第五中学,1
北京市第五十中学分校,北京市第十一中学,4
北京市第五十中学分校,北京市第五十中学,4
北京市第五十中学分校,北京市第五十五中学,2
北京市第五十中学分校,北京市第一零九中学,4
北京市第五十中学分校,北京市第一六六中学,2
北京市第五十中学分校,北京市第一七一中学,1
北京市第五十中学分校,北京汇文中学,3
北京市第五十中学分校,北京市第二十二中学,2
北京市第五十中学分校,北京市龙潭中学,1
北京市第五十四中学,北京市第二中学,9
北京市第五十四中学,北京市第五中学,6
北京市第五十四中学,北京市第十一中学,11
北京市第五十四中学,北京市第五十中学,16
北京市第五十四中学,北京市第五十五中学,20
北京市第五十四中学,北京市第一零九中学,16
北京市第五十四中学,北京市第一六六中学,16
北京市第五十四中学,北京市第一七一中学,9
北京市第五十四中学,北京市广渠门中学,3
北京市第五十四中学,北京汇文中学,2
北京市第五十四中学,北京市东直门中学,9
北京市第五十四中学,北京景山学校,1
北京市第五十四中学,北京市第二十二中学,20
北京市第五十四中学,北京市龙潭中学,1
北京市第五十五中学,北京市第二中学,1
北京市第五十五中学,北京市第五中学,2
北京市第五十五中学,北京市第十一中学,1
北京市第五十五中学,北京市第五十中学,4
北京市第五十五中学,北京市第五十五中学,13
北京市第五十五中学,北京市第一零九中学,1
北京市第五十五中学,北京市第一六六中学,1
北京市第五十五中学,北京市第一七一中学,1
北京市第五十五中学,北京市广渠门中学,1
北京市第五十五中学,北京汇文中学,1
北京市第五十五中学,北京市东直门中学,2
北京市第五十五中学,北京景山学校,3
北京市第五十五中学,北京市第二十二中学,5
北京市第五十五中学,北京市龙潭中学,1
北京市第六十五中学,北京市第二中学,4
北京市第六十五中学,北京市第五中学,2
北京市第六十五中学,北京市第十一中学,10
北京市第六十五中学,北京市第五十中学,9
北京市第六十五中学,北京市第五十五中学,11
北京市第六十五中学,北京市第一零九中学,12
北京市第六十五中学,北京市第一六六中学,10
北京市第六十五中学,北京市第一七一中学,4
北京市第六十五中学,北京市广渠门中学,2
北京市第六十五中学,北京汇文中学,2
北京市第六十五中学,北京市东直门中学,4
北京市第六十五中学,北京景山学校,1
北京市第六十五中学,北京市第二十二中学,12
北京市第六十五中学,北京市龙潭中学,1
北京市第九十六中学,北京市第二中学,2
北京市第九十六中学,北京市第五中学,2
北京市第九十六中学,北京市第十一中学,12
北京市第九十六中学,北京市第五十中学,12
北京市第九十六中学,北京市第五十五中学,7
北京市第九十六中学,北京市第一零九中学,12
北京市第九十六中学,北京市第一六六中学,7
北京市第九十六中学,北京市第一七一中学,2
北京市第九十六中学,北京市广渠门中学,3
北京市第九十六中学,北京汇文中学,2
北京市第九十六中学,北京市东直门中学,4
北京市第九十六中学,北京市第二十二中学,6
北京市第九十六中学,北京市龙潭中学,1
北京市第一零九中学,北京市第二中学,1
北京市第一零九中学,北京市第五中学,1
北京市第一零九中学,北京市第十一中学,1
北京市第一零九中学,北京市第五十中学,1
北京市第一零九中学,北京市第一零九中学,1
北京市第一零九中学,北京市第一七一中学,1
北京市第一零九中学,北京市广渠门中学,1
北京市第一零九中学,北京汇文中学,1
北京市第一零九中学,北京市东直门中学,1
北京市第一零九中学,北京市龙潭中学,1
北京汇文实验中学,北京市第二中学,1
北京汇文中学,北京市第二中学,1
北京汇文实验中学,北京市第五中学,0
北京汇文中学,北京市第五中学,1
北京汇文实验中学,北京市第十一中学,4
北京汇文中学,北京市第十一中学,4
北京汇文实验中学,北京市第五十中学,3
北京汇文中学,北京市第五十中学,3
北京汇文实验中学,北京市第五十五中学,2
北京汇文中学,北京市第五十五中学,2
北京汇文实验中学,北京市第一零九中学,3
北京汇文中学,北京市第一零九中学,3
北京汇文实验中学,北京市第一六六中学,2
北京汇文中学,北京市第一六六中学,3
北京汇文实验中学,北京市第一七一中学,0
北京汇文中学,北京市第一七一中学,1
北京汇文实验中学,北京市广渠门中学,1
北京汇文中学,北京市广渠门中学,1
北京汇文实验中学,北京汇文中学,2
北京汇文中学,北京汇文中学,3
北京汇文实验中学,北京市东直门中学,0
北京汇文中学,北京市东直门中学,1
北京汇文实验中学,北京景山学校,1
北京汇文中学,北京景山学校,1
北京汇文实验中学,北京市第二十二中学,2
北京汇文中学,北京市第二十二中学,3
北京汇文实验中学,北京市龙潭中学,1
北京汇文中学,北京市龙潭中学,1
北京市第一四二中学,北京市第二中学,2
北京市第一四二中学,北京市第五中学,2
北京市第一四二中学,北京市第十一中学,3
北京市第一四二中学,北京市第五十中学,5
北京市第一四二中学,北京市第五十五中学,10
北京市第一四二中学,北京市第一零九中学,3
北京市第一四二中学,北京市第一六六中学,8
北京市第一四二中学,北京市第一七一中学,2
北京市第一四二中学,北京市广渠门中学,1
北京市第一四二中学,北京汇文中学,2
北京市第一四二中学,北京市东直门中学,5
北京市第一四二中学,北京市第二十二中学,10
北京市第一四二中学,北京市龙潭中学,1
北京市第一六五中学,北京市第二中学,1
北京市东直门中学,北京市第二中学,1
北京市第一六五中学,北京市第五中学,1
北京市东直门中学,北京市第五中学,1
北京市第一六五中学,北京市第十一中学,1
北京市东直门中学,北京市第十一中学,1
北京市第一六五中学,北京市第五十中学,1
北京市东直门中学,北京市第五十中学,1
北京市第一六五中学,北京市第五十五中学,2
北京市东直门中学,北京市第五十五中学,2
北京市第一六五中学,北京市第一零九中学,1
北京市东直门中学,北京市第一零九中学,1
北京市第一六五中学,北京市第一六六中学,1
北京市东直门中学,北京市第一六六中学,1
北京市第一六五中学,北京市第一七一中学,0
北京市东直门中学,北京市第一七一中学,1
北京市第一六五中学,北京市广渠门中学,0
北京市东直门中学,北京市广渠门中学,1
北京市第一六五中学,北京汇文中学,0
北京市东直门中学,北京汇文中学,1
北京市第一六五中学,北京市东直门中学,1
北京市东直门中学,北京市东直门中学,1
北京市第一六五中学,北京景山学校,1
北京市东直门中学,北京景山学校,1
北京市第一六五中学,北京市第二十二中学,1
北京市东直门中学,北京市第二十二中学,2
北京市第一六五中学,北京市龙潭中学,0
北京市东直门中学,北京市龙潭中学,1
北京市第一六六中学,北京市第二中学,1
北京市第一六六中学,北京市第五中学,2
北京市第一六六中学,北京市第十一中学,1
北京市第一六六中学,北京市第五十中学,2
北京市第一六六中学,北京市第五十五中学,3
北京市第一六六中学,北京市第一零九中学,2
北京市第一六六中学,北京市第一六六中学,5
北京市第一六六中学,北京市第一七一中学,1
北京市第一六六中学,北京市广渠门中学,2
北京市第一六六中学,北京汇文中学,2
北京市第一六六中学,北京市东直门中学,1
北京市第一六六中学,北京景山学校,2
北京市第一六六中学,北京市第二十二中学,2
北京市第一六六中学,北京市龙潭中学,1
北京市第一七一中学,北京市第二中学,3
北京市第一七一中学,北京市第五中学,2
北京市第一七一中学,北京市第十一中学,5
北京市第一七一中学,北京市第五十中学,6
北京市第一七一中学,北京市第五十五中学,6
北京市第一七一中学,北京市第一零九中学,6
北京市第一七一中学,北京市第一六六中学,4
北京市第一七一中学,北京市第一七一中学,4
北京市第一七一中学,北京市广渠门中学,1
北京市第一七一中学,北京汇文中学,2
北京市第一七一中学,北京市东直门中学,3
北京市第一七一中学,北京景山学校,3
北京市第一七一中学,北京市第二十二中学,6
北京市第一七一中学,北京市龙潭中学,1
中央工艺美术学院附属中学,北京市第二中学,1
中央工艺美术学院附属中学,北京市第五中学,1
中央工艺美术学院附属中学,北京市第五十五中学,1
中央工艺美术学院附属中学,北京市第一六六中学,1
中央工艺美术学院附属中学,北京市第一七一中学,1
中央工艺美术学院附属中学,北京汇文中学,1
中央工艺美术学院附属中学,北京景山学校,1
中央工艺美术学院附属中学,北京市第二十二中学,1
中央工艺美术学院附属中学,北京市龙潭中学,1
北京市广渠门中学,北京市第二中学,0
北京市龙潭中学,北京市第二中学,1
北京市广渠门中学,北京市第五中学,0
北京市龙潭中学,北京市第五中学,1
北京市广渠门中学,北京市第十一中学,4
北京市龙潭中学,北京市第十一中学,4
北京市广渠门中学,北京市第五十中学,3
北京市龙潭中学,北京市第五十中学,3
北京市广渠门中学,北京市第五十五中学,2
北京市龙潭中学,北京市第五十五中学,3
北京市广渠门中学,北京市第一零九中学,3
北京市龙潭中学,北京市第一零九中学,4
北京市广渠门中学,北京市第一六六中学,1
北京市龙潭中学,北京市第一六六中学,2
北京市广渠门中学,北京市第一七一中学,0
北京市龙潭中学,北京市第一七一中学,1
北京市广渠门中学,北京市广渠门中学,1
北京市龙潭中学,北京市广渠门中学,2
北京市广渠门中学,北京汇文中学,1
北京市龙潭中学,北京汇文中学,2
北京市广渠门中学,北京市东直门中学,0
北京市龙潭中学,北京市东直门中学,1
北京市广渠门中学,北京景山学校,1
北京市龙潭中学,北京景山学校,1
北京市广渠门中学,北京市第二十二中学,2
北京市龙潭中学,北京市第二十二中学,3
北京市广渠门中学,北京市龙潭中学,0
北京市龙潭中学,北京市龙潭中学,1
北京市文汇中学,北京市第二中学,8
北京市文汇中学,北京市第五中学,2
北京市文汇中学,北京市第十一中学,11
北京市文汇中学,北京市第五十中学,11
北京市文汇中学,北京市第五十五中学,7
北京市文汇中学,北京市第一零九中学,11
北京市文汇中学,北京市第一六六中学,6
北京市文汇中学,北京市第一七一中学,4
北京市文汇中学,北京市广渠门中学,3
北京市文汇中学,北京汇文中学,3
北京市文汇中学,北京市东直门中学,6
北京市文汇中学,北京景山学校,6
北京市文汇中学,北京市第二十二中学,7
北京市文汇中学,北京市龙潭中学,2
北京市和平北路学校,北京市第五十五中学,1
北京市和平北路学校,北京市第一七一中学,1
北京市和平北路学校,北京景山学校,1
北京市前门外国语学校,北京市第二中学,3
北京市前门外国语学校,北京市第五中学,1
北京市前门外国语学校,北京市第十一中学,10
北京市前门外国语学校,北京市第五十中学,11
北京市前门外国语学校,北京市第五十五中学,5
北京市前门外国语学校,北京市第一零九中学,11
北京市前门外国语学校,北京市第一六六中学,5
北京市前门外国语学校,北京市第一七一中学,3
北京市前门外国语学校,北京市广渠门中学,2
北京市前门外国语学校,北京汇文中学,3
北京市前门外国语学校,北京市东直门中学,2
北京市前门外国语学校,北京市第二十二中学,5
北京市前门外国语学校,北京市龙潭中学,3
北京景山学校,北京市第二中学,1
北京景山学校,北京市第五中学,1
北京景山学校,北京市第十一中学,1
北京景山学校,北京市第五十中学,1
北京景山学校,北京市第五十五中学,1
北京景山学校,北京市第一零九中学,1
北京景山学校,北京市第一六六中学,1
北京景山学校,北京市第一七一中学,1
北京景山学校,北京市广渠门中学,1
北京景山学校,北京汇文中学,1
北京景山学校,北京市东直门中学,1
北京景山学校,北京景山学校,3
北京景山学校,北京市第二十二中学,1
北京景山学校,北京市龙潭中学,1
北京汇文中学朝阳学校,北京市第二中学,1
北京汇文中学朝阳学校,北京市第五中学,1
北京汇文中学朝阳学校,北京市第十一中学,2
北京汇文中学朝阳学校,北京市第五十中学,2
北京汇文中学朝阳学校,北京市第五十五中学,1
北京汇文中学朝阳学校,北京市第一零九中学,2
北京汇文中学朝阳学校,北京市第一六六中学,2
北京汇文中学朝阳学校,北京市第一七一中学,1
北京汇文中学朝阳学校,北京市广渠门中学,2
北京汇文中学朝阳学校,北京汇文中学,3
北京汇文中学朝阳学校,北京市东直门中学,1
北京汇文中学朝阳学校,北京景山学校,1
北京汇文中学朝阳学校,北京市第二十二中学,1
北京汇文中学朝阳学校,北京市龙潭中学,1
